Normalized_ACC	Class	Order	Collapsed_Ord
0.006451613	Terrestrial	Deep subsurface	Fresh water
0.006134969	Terrestrial	Deep subsurface	Fresh water
0.005417118	Terrestrial	Deep subsurface	Fresh water
0.002231147	Terrestrial	Deep subsurface	Fresh water
0	Terrestrial	Deep subsurface	Fresh water
0	Terrestrial	Deep subsurface	Fresh water
0	Terrestrial	Deep subsurface	Fresh water
0	Terrestrial	Deep subsurface	Fresh water
0	Terrestrial	Deep subsurface	Fresh water
0	Terrestrial	Deep subsurface	Fresh water
0	Terrestrial	Deep subsurface	Fresh water
0	Terrestrial	Deep subsurface	Fresh water
0	Terrestrial	Deep subsurface	Fresh water
0	Terrestrial	Deep subsurface	Fresh water
0	Terrestrial	Deep subsurface	Fresh water
0	Terrestrial	Deep subsurface	Fresh water
0	Terrestrial	Deep subsurface	Fresh water
0	Terrestrial	Deep subsurface	Fresh water
0	Terrestrial	Deep subsurface	Fresh water
0	Terrestrial	Deep subsurface	Fresh water
0	Terrestrial	Deep subsurface	Fresh water
0	Terrestrial	Deep subsurface	Fresh water
0	Terrestrial	Deep subsurface	Fresh water
0	Terrestrial	Deep subsurface	Fresh water
0	Terrestrial	Deep subsurface	Fresh water
0	Terrestrial	Deep subsurface	Fresh water
0	Terrestrial	Deep subsurface	Fresh water
0	Aquatic	Freshwater	Fresh water
0.699346405	Aquatic	Freshwater	Fresh water
0.685279188	Aquatic	Freshwater	Fresh water
0.654545455	Aquatic	Freshwater	Fresh water
0.5	Aquatic	Freshwater	Fresh water
0.435185185	Aquatic	Freshwater	Fresh water
0.375	Aquatic	Freshwater	Fresh water
0.364285714	Aquatic	Freshwater	Fresh water
0.333333333	Aquatic	Freshwater	Fresh water
0.333333333	Aquatic	Freshwater	Fresh water
0.32967033	Aquatic	Freshwater	Fresh water
0.325062035	Aquatic	Freshwater	Fresh water
0.323529412	Aquatic	Freshwater	Fresh water
0.294117647	Aquatic	Freshwater	Fresh water
0.28	Aquatic	Freshwater	Fresh water
0.278538813	Aquatic	Freshwater	Fresh water
0.263803681	Aquatic	Freshwater	Fresh water
0.255639098	Aquatic	Freshwater	Fresh water
0.252459016	Aquatic	Freshwater	Fresh water
0.246153846	Aquatic	Freshwater	Fresh water
0.245454545	Aquatic	Freshwater	Fresh water
0.23255814	Aquatic	Freshwater	Fresh water
0.232323232	Aquatic	Freshwater	Fresh water
0.207317073	Aquatic	Freshwater	Fresh water
0.204778157	Aquatic	Freshwater	Fresh water
0.197115385	Aquatic	Freshwater	Fresh water
0.189814815	Aquatic	Freshwater	Fresh water
0.188202247	Aquatic	Freshwater	Fresh water
0.181640625	Aquatic	Freshwater	Fresh water
0.178571429	Aquatic	Freshwater	Fresh water
0.176470588	Aquatic	Freshwater	Fresh water
0.176470588	Aquatic	Freshwater	Fresh water
0.174757282	Aquatic	Freshwater	Fresh water
0.166666667	Aquatic	Freshwater	Fresh water
0.164041995	Aquatic	Freshwater	Fresh water
0.163424125	Aquatic	Freshwater	Fresh water
0.163157895	Aquatic	Freshwater	Fresh water
0.162162162	Aquatic	Freshwater	Fresh water
0.161512027	Aquatic	Freshwater	Fresh water
0.161290323	Aquatic	Freshwater	Fresh water
0.16	Aquatic	Freshwater	Fresh water
0.158119658	Aquatic	Freshwater	Fresh water
0.15704388	Aquatic	Freshwater	Fresh water
0.156084656	Aquatic	Freshwater	Fresh water
0.155905512	Aquatic	Freshwater	Fresh water
0.155615697	Aquatic	Freshwater	Fresh water
0.154867257	Aquatic	Freshwater	Fresh water
0.153968887	Aquatic	Freshwater	Fresh water
0.153508772	Aquatic	Freshwater	Fresh water
0.153191489	Aquatic	Freshwater	Fresh water
0.148560817	Aquatic	Freshwater	Fresh water
0.146131805	Aquatic	Freshwater	Fresh water
0.146067416	Aquatic	Freshwater	Fresh water
0.145714286	Aquatic	Freshwater	Fresh water
0.145454545	Aquatic	Freshwater	Fresh water
0.143422914	Aquatic	Freshwater	Fresh water
0.142250531	Aquatic	Freshwater	Fresh water
0.141579732	Aquatic	Freshwater	Fresh water
0.140957447	Aquatic	Freshwater	Fresh water
0.138533674	Aquatic	Freshwater	Fresh water
0.138279933	Aquatic	Freshwater	Fresh water
0.137614679	Aquatic	Freshwater	Fresh water
0.136929461	Aquatic	Freshwater	Fresh water
0.136363636	Aquatic	Freshwater	Fresh water
0.136170213	Aquatic	Freshwater	Fresh water
0.132352941	Aquatic	Freshwater	Fresh water
0.132098765	Aquatic	Freshwater	Fresh water
0.130434783	Aquatic	Freshwater	Fresh water
0.130434783	Aquatic	Freshwater	Fresh water
0.130237826	Aquatic	Freshwater	Fresh water
0.128694825	Aquatic	Freshwater	Fresh water
0.126865672	Aquatic	Freshwater	Fresh water
0.12590799	Aquatic	Freshwater	Fresh water
0.125904486	Aquatic	Freshwater	Fresh water
0.1256182	Aquatic	Freshwater	Fresh water
0.125603865	Aquatic	Freshwater	Fresh water
0.125102208	Aquatic	Freshwater	Fresh water
0.125	Aquatic	Freshwater	Fresh water
0.12371134	Aquatic	Freshwater	Fresh water
0.123397436	Aquatic	Freshwater	Fresh water
0.123076923	Aquatic	Freshwater	Fresh water
0.122529644	Aquatic	Freshwater	Fresh water
0.122222222	Aquatic	Freshwater	Fresh water
0.12	Aquatic	Freshwater	Fresh water
0.119565217	Aquatic	Freshwater	Fresh water
0.118644068	Aquatic	Freshwater	Fresh water
0.118473896	Aquatic	Freshwater	Fresh water
0.1184573	Aquatic	Freshwater	Fresh water
0.117851815	Aquatic	Freshwater	Fresh water
0.117408907	Aquatic	Freshwater	Fresh water
0.117029257	Aquatic	Freshwater	Fresh water
0.116883117	Aquatic	Freshwater	Fresh water
0.116336634	Aquatic	Freshwater	Fresh water
0.11625	Aquatic	Freshwater	Fresh water
0.115539859	Aquatic	Freshwater	Fresh water
0.113636364	Aquatic	Freshwater	Fresh water
0.112903226	Aquatic	Freshwater	Fresh water
0.112759644	Aquatic	Freshwater	Fresh water
0.111716621	Aquatic	Freshwater	Fresh water
0.109727626	Aquatic	Freshwater	Fresh water
0.108597285	Aquatic	Freshwater	Fresh water
0.107142857	Aquatic	Freshwater	Fresh water
0.106658048	Aquatic	Freshwater	Fresh water
0.106382979	Aquatic	Freshwater	Fresh water
0.105603448	Aquatic	Freshwater	Fresh water
0.105263158	Aquatic	Freshwater	Fresh water
0.104298802	Aquatic	Freshwater	Fresh water
0.10311284	Aquatic	Freshwater	Fresh water
0.102564103	Aquatic	Freshwater	Fresh water
0.101010101	Aquatic	Freshwater	Fresh water
0.100888507	Aquatic	Freshwater	Fresh water
0.09929078	Aquatic	Freshwater	Fresh water
0.098752035	Aquatic	Freshwater	Fresh water
0.098297214	Aquatic	Freshwater	Fresh water
0.097376093	Aquatic	Freshwater	Fresh water
0.095890411	Aquatic	Freshwater	Fresh water
0.095868068	Aquatic	Freshwater	Fresh water
0.095238095	Aquatic	Freshwater	Fresh water
0.094688222	Aquatic	Freshwater	Fresh water
0.093892813	Aquatic	Freshwater	Fresh water
0.093886463	Aquatic	Freshwater	Fresh water
0.092822967	Aquatic	Freshwater	Fresh water
0.092587413	Aquatic	Freshwater	Fresh water
0.091015854	Aquatic	Freshwater	Fresh water
0.090909091	Aquatic	Freshwater	Fresh water
0.090163934	Aquatic	Freshwater	Fresh water
0.08988764	Aquatic	Freshwater	Fresh water
0.089065256	Aquatic	Freshwater	Fresh water
0.088607595	Aquatic	Freshwater	Fresh water
0.088333841	Aquatic	Freshwater	Fresh water
0.087173101	Aquatic	Freshwater	Fresh water
0.086990291	Aquatic	Freshwater	Fresh water
0.085908853	Aquatic	Freshwater	Fresh water
0.085798817	Aquatic	Freshwater	Fresh water
0.085526316	Aquatic	Freshwater	Fresh water
0.084826947	Aquatic	Freshwater	Fresh water
0.083713851	Aquatic	Freshwater	Fresh water
0.083333333	Aquatic	Freshwater	Fresh water
0.083160083	Aquatic	Freshwater	Fresh water
0.082758621	Aquatic	Freshwater	Fresh water
0.082716049	Aquatic	Freshwater	Fresh water
0.081632653	Aquatic	Freshwater	Fresh water
0.081593928	Aquatic	Freshwater	Fresh water
0.081177232	Aquatic	Freshwater	Fresh water
0.080846446	Aquatic	Freshwater	Fresh water
0.080388693	Aquatic	Freshwater	Fresh water
0.080128205	Aquatic	Freshwater	Fresh water
0.079347826	Aquatic	Freshwater	Fresh water
0.078904992	Aquatic	Freshwater	Fresh water
0.078740157	Aquatic	Freshwater	Fresh water
0.078125	Aquatic	Freshwater	Fresh water
0.077577046	Aquatic	Freshwater	Fresh water
0.076923077	Aquatic	Freshwater	Fresh water
0.076923077	Aquatic	Freshwater	Fresh water
0.075949367	Aquatic	Freshwater	Fresh water
0.075671277	Aquatic	Freshwater	Fresh water
0.074465344	Aquatic	Freshwater	Fresh water
0.074303406	Aquatic	Freshwater	Fresh water
0.074074074	Aquatic	Freshwater	Fresh water
0.073795181	Aquatic	Freshwater	Fresh water
0.073626374	Aquatic	Freshwater	Fresh water
0.073359073	Aquatic	Freshwater	Fresh water
0.07313899	Aquatic	Freshwater	Fresh water
0.073137201	Aquatic	Freshwater	Fresh water
0.073019802	Aquatic	Freshwater	Fresh water
0.072414445	Aquatic	Freshwater	Fresh water
0.072380952	Aquatic	Freshwater	Fresh water
0.072222222	Aquatic	Freshwater	Fresh water
0.072072072	Aquatic	Freshwater	Fresh water
0.071900047	Aquatic	Freshwater	Fresh water
0.071794872	Aquatic	Freshwater	Fresh water
0.071437461	Aquatic	Freshwater	Fresh water
0.071428571	Aquatic	Freshwater	Fresh water
0.071340713	Aquatic	Freshwater	Fresh water
0.07077748	Aquatic	Freshwater	Fresh water
0.070622854	Aquatic	Freshwater	Fresh water
0.070243902	Aquatic	Freshwater	Fresh water
0.069979716	Aquatic	Freshwater	Fresh water
