	observed_species	shannon	singles
Ga0007762	11.0	3.39274741045	9.0
Ga0073913	73.0	6.10444362045	67.0
Ga0031672	6.0	2.58496250072	6.0
Ga0065178	10.0	3.27761343682	9.0
Ga0031671	6.0	2.5	4.0
Ga0098074	12.0	3.52164063634	10.0
Ga0098073	7.0	2.75	6.0
Ga0007752	14.0	3.61634856608	11.0
JGI24125J20156	15.0	3.74643934467	12.0
BBAY86	128.0	6.88941223482	107.0
Ga0073915	31.0	4.65455829408	25.0
Ga0070743	88.0	6.30515122062	70.0
Ga0066604	65.0	5.94580775746	58.0
Ga0073917	15.0	3.875	14.0
Ga0066601	97.0	6.3615231687	79.0
JGI24024J18818	73.0	5.95756428494	59.0
Ga0075121	44.0	5.1875362713	37.0
SRS063999	7.0	2.725480557	5.0
Ga0075019	207.0	7.23762115661	173.0
Ga0105353	44.0	5.02910407032	30.0
Ga0105350	94.0	5.91229591525	46.0
Ga0105352	49.0	5.26921843793	37.0
JGI24144J35610	24.0	4.38202144654	16.0
JGIcombinedJ43159	38.0	4.9021466652	33.0
Ga0102907	41.0	5.14229521919	32.0
Ga0102815	165.0	7.19025158714	130.0
EFB	16.0	3.93213803976	13.0
B570J14554	29.0	4.73451238175	22.0
Ga0075465	31.0	4.82386375732	25.0
Ga0075498	6.0	2.52164063634	5.0
Ga0075471	101.0	6.35261381377	80.0
Ga0075295	32.0	5.0	32.0
Ga0007742	11.0	3.2195282823	8.0
JGI25928J51866	23.0	4.50162916739	22.0
Ga0007763	18.0	3.87314067951	14.0
Ga0007757	16.0	3.65726822962	13.0
Ga0007764	18.0	3.93456081429	15.0
Ga0075490	3.0	1.58496250072	3.0
Ga0007756	11.0	3.3232314288	8.0
AA2	26.0	4.6644977792	24.0
Ga0099793	23.0	4.34839434554	19.0
JGIcombinedJ26739	214.0	7.08262894786	153.0
JGI24023J19991	99.0	6.52284580947	84.0
AR4	48.0	5.55477828315	45.0
Ga0154006	9.0	3.12192809489	8.0
JGI20197J15136	14.0	3.75	12.0
Ga0031654	38.0	5.1757358691	30.0
JGI24145J26757	28.0	4.5367840911	20.0
JGI20198J14950	5.0	2.32192809489	5.0
Ga0075521	114.0	6.64053803254	98.0
Ga0102810	71.0	5.9760993705	57.0
WSSedB2BDRAFT	7.0	2.725480557	5.0
WSSedB2BaDRAFT	7.0	2.725480557	5.0
Ga0075284	26.0	4.70043971814	26.0
Ga0052186	22.0	4.40385618977	19.0
WSSedB2C	20.0	4.22017552146	17.0
Ga0062381	103.0	6.5775614475	84.0
TDF	62.0	5.71263065612	47.0
Ga0068713	69.0	5.93415427164	58.0
Ga0075115	61.0	5.66433699383	49.0
Ga0075111	25.0	4.33706620988	16.0
JGI26437J51864	30.0	4.76006701527	27.0
WSSedA2C2DRAFT	10.0	3.2389012566	7.0
WSSedB1B	10.0	3.25162916739	8.0
JGI20214J14112	23.0	4.36473517873	19.0
WSSedA1Ba2DRAFT	16.0	3.89240711859	14.0
Ga0068884	3.0	1.58496250072	3.0
Ga0068885	7.0	2.80735492206	7.0
Ga0105349	62.0	4.93268164459	31.0
Ga0105351	76.0	5.72679273889	38.0
FACENCTE	43.0	5.24574349505	32.0
JGIcombinedJ26738	4.0	1.92192809489	3.0
2230529419	1.0	-0.0	1.0
2229402901	1.0	-0.0	1.0
SA	29.0	4.61580853957	21.0
Ga0102866	33.0	4.99342908831	32.0
Ga0102888	26.0	4.58291324573	23.0
Ga0102905	29.0	4.7077148026	26.0
Ga0102904	44.0	5.38311382232	38.0
Ga0126350	48.0	4.94686608624	36.0
Ga0075297	33.0	5.04439411936	33.0
JGI1357J11328	30.0	4.86257593754	27.0
Ga0075287	39.0	5.25999102901	37.0
SA2	32.0	4.98378805875	31.0
Ga0066859	59.0	5.32003574556	37.0
Ga0066838	46.0	5.03582119211	33.0
Ga0164321	23.0	4.39629152905	20.0
Ga0102865	41.0	5.25366068969	34.0
JGI24723J26617	99.0	6.32122455818	81.0
JGI20204J15135	10.0	3.09306920777	8.0
JGI20203J14952	14.0	3.69011651759	12.0
Ga0070763	126.0	6.51551873054	100.0
JGI24820J26691	31.0	4.72243539409	24.0
Ga0160422	55.0	5.2952453477	44.0
Ga0137784	18.0	4.14266435555	17.0
Ga0099924	5.0	2.32192809489	5.0
Ga0102811	77.0	6.13291266302	57.0
BBAY65	94.0	6.48863854381	81.0
BBAY73	79.0	6.08784510014	68.0
AR1	45.0	5.4223295086	40.0
BBAY89	26.0	4.68081342809	25.0
BBAY66	86.0	6.30130726618	74.0
Ga0066839	65.0	4.44792013881	49.0
Ga0079217	286.0	7.91789047588	253.0
FACENCTA	30.0	4.86257593754	27.0
Ga0172380	35.0	4.98541222775	27.0
Ga0066832	39.0	5.14875843973	31.0
Ga0066843	46.0	5.19577270301	32.0
Ga0066697	122.0	6.52807357275	97.0
Ga0066693	99.0	6.45215739947	82.0
LWFCAn	34.0	5.0721401598	33.0
Ga0137465	7.0	2.80735492206	7.0
Ga0172382	36.0	4.88437282075	31.0
JGI24650J20062	13.0	3.64022392894	11.0
Ga0066644	33.0	4.97283478449	30.0
Ga0098064	7.0	2.64160416787	6.0
Ga0098063	12.0	3.25469395165	7.0
LWFCAn3	9.0	3.12192809489	8.0
Ga0180302	14.0	3.73452166478	11.0
Ga0157297	66.0	5.68437144326	52.0
JGI12701J14581	12.0	3.58496250072	12.0
Ga0058704	113.0	6.66038936499	93.0
Ga0070732	122.0	6.73935640715	98.0
Ga0075272	43.0	5.37671657558	41.0
Ga0137386	51.0	5.47914337403	40.0
Ga0066684	165.0	6.95793780146	131.0
Ga0066674	77.0	5.86406781708	52.0
Ga0137378	68.0	5.75950854994	50.0
Ga0073900	79.0	6.20841115184	72.0
Ga0116154	16.0	3.67269191146	11.0
Ga0137440	7.0	2.725480557	5.0
Ga0137447	12.0	3.52164063634	10.0
Ga0074064	91.0	6.42973036646	83.0
Ga0075524	105.0	6.63002973806	95.0
Ga0075528	41.0	5.32306798227	38.0
Ga0157288	46.0	5.38367452954	38.0
Ga0075427	49.0	5.46444992831	38.0
Ga0075293	31.0	4.95419631039	31.0
Ga0116101	7.0	2.75	6.0
Ga0137451	13.0	3.6644977792	12.0
Ga0126307	82.0	5.5206273401	58.0
Ga0172367	51.0	5.55492393132	43.0
M940M	4.0	2.0	4.0
Ga0066689	141.0	6.79054543536	111.0
Ga0102883	66.0	5.86263986874	51.0
Ga0114959	35.0	5.04645718749	30.0
Ga0164295	37.0	4.76214368977	26.0
Ga0102855	48.0	5.39106964241	37.0
Ga0102859	33.0	4.79163587401	27.0
Ga0114963	26.0	4.60140976556	21.0
Ga0170791	70.0	5.86485790113	52.0
Ga0102863	48.0	5.4555255404	43.0
Ga0102917	48.0	5.24797625788	32.0
Ga0114964	28.0	4.4958535072	21.0
Ga0164294	43.0	5.00871563765	33.0
Ga0102878	48.0	5.42400635451	35.0
Ga0102871	56.0	5.7077148026	44.0
Ga0138269	8.0	2.92192809489	6.0
Ga0066628	12.0	3.54659356429	11.0
Ga0066622	12.0	3.54659356429	11.0
Ga0070744	33.0	4.96490415812	29.0
JGIcombinedJ21913	42.0	5.09114742821	31.0
JGIcombinedJ21915	57.0	5.53193032802	37.0
JGI24132J36420	21.0	4.17843919083	17.0
JGI24131J36419	17.0	3.89366068969	12.0
JGI24136J36422	32.0	4.86197027781	24.0
JGIcombinedJ21914	37.0	4.96140632972	24.0
JGI24135J36437	15.0	3.82687488186	11.0
JGI20179J14886	6.0	2.52164063634	5.0
JGIcombinedJ26865	18.0	4.14266435555	17.0
Ga0075283	39.0	5.25999102901	37.0
Ga0075282	31.0	4.88878967942	29.0
JGI24141J26756	21.0	3.96195978635	11.0
Ga0075527	74.0	6.1214259049	67.0
Ga0075290	41.0	5.28976005384	37.0
JGIcombinedJ21911	34.0	4.90022954312	26.0
JGI24728J21555	16.0	3.89240711859	14.0
GPICI	17.0	3.85122748095	13.0
BBAY82	68.0	5.97192809489	60.0
Ga0100964	11.0	3.1692486957	8.0
JGI24500J29687	24.0	4.50689059561	18.0
Ga0075278	34.0	5.03740119765	30.0
Ga0072329	3.0	1.58496250072	3.0
JGI12698J15209	5.0	2.32192809489	5.0
Ga0066700	156.0	6.9317626603	120.0
FACEORA	25.0	4.64385618977	25.0
Ga0157292	61.0	5.67462517535	50.0
Ga0157299	29.0	4.64911468444	25.0
Ga0114983	5.0	2.23592635063	3.0
Ga0116166	14.0	3.61436944589	12.0
Ga0075296	20.0	4.27761343682	18.0
JGI12269J14319	59.0	5.76542019047	46.0
Ga0074060	104.0	6.55751155765	87.0
Ga0137361	36.0	4.79642681269	22.0
JGI12361J15250	8.0	3.0	8.0
Ga0137457	12.0	3.46772010047	11.0
Ga0066704	149.0	6.92226322056	110.0
Ga0105063	7.0	2.64160416787	6.0
JGI20188J14859	15.0	3.78418371978	11.0
Ga0157354	18.0	4.08418371978	17.0
Ga0127503	18.0	4.07065611315	16.0
Ga0157302	61.0	5.62991841659	37.0
Ga0105050	62.0	5.86805697866	55.0
Ga0105052	38.0	5.2018412323	34.0
Ga0105051	41.0	5.31407531855	37.0
Ga0105053	46.0	5.33834309158	41.0
LPaug09P16500mDRAFT	18.0	3.64147296223	10.0
JGI12481J13897	17.0	4.08746284125	17.0
BBAY67	53.0	5.67255190026	49.0
C687J26615	42.0	5.27277336448	38.0
Ga0075288	39.0	5.25999102901	37.0
Ga0066707	142.0	6.79459966217	109.0
Ga0073905	60.0	5.68906321385	49.0
Ga0157305	43.0	5.25736749709	41.0
Ga0157291	56.0	5.6099327173	46.0
Ga0157290	56.0	5.52950212598	47.0
Ga0070703	156.0	7.16116863408	126.0
Ga0079365	68.0	5.76837698877	48.0
Ga0073906	29.0	4.82516405232	27.0
Ga0172376	57.0	5.5100125843	41.0
Ga0163210	5.0	2.32192809489	5.0
Ga0172372	72.0	5.68688294777	60.0
JGIcombinedJ51221	53.0	5.43215534202	45.0
Ga0081425	10.0	3.27761343682	9.0
Ga0066680	155.0	6.97395352736	119.0
Ga0066686	161.0	6.98922254662	118.0
JGI25914J50564	26.0	4.55954563451	21.0
JGI25921J50272	16.0	3.96981578243	15.0
JGI24766J26685	21.0	4.29366068969	18.0
JGI25922J50271	16.0	3.94770277922	14.0
Ga0065166	47.0	5.36799003281	41.0
Ga0007743	4.0	1.92192809489	3.0
M3P	34.0	4.69712054885	27.0
Ga0075464	46.0	4.81802673209	32.0
Ga0007759	21.0	4.2389012566	18.0
JGI25930J51415	20.0	4.08679037524	15.0
Ga0007760	16.0	3.88418371978	13.0
Ga0007755	2.0	0.918295834054	1.0
JGI25925J51416	23.0	4.25321201841	18.0
Ga0075470	32.0	4.55009827998	24.0
JGI25923J51411	13.0	3.6644977792	12.0
Ga0068912	21.0	4.32385618977	17.0
GBIDBA	83.0	6.01638927771	68.0
BSg2DRAFT	5.0	2.32192809489	5.0
Ga0114958	34.0	4.86903483454	26.0
Ga0116163	14.0	3.75	12.0
Ga0066847	67.0	5.73696284777	46.0
Ga0074197	14.0	3.70281953111	13.0
Ga0102824	59.0	5.79045451381	49.0
Ga0102830	67.0	5.89174387731	57.0
Ga0114938	24.0	4.56385618977	23.0
Ga0063241	26.0	4.57781953111	22.0
Ga0031696	3.0	1.58496250072	3.0
FACENCA	19.0	4.22192809489	18.0
Ga0181522	39.0	4.81120020539	26.0
JGI24140J50213	27.0	4.59342908831	22.0
Ga0074044	23.0	4.25297497511	14.0
Ga0126351	5.0	2.32192809489	5.0
Ga0157304	26.0	4.48789327158	23.0
Ga0074046	16.0	3.50461400078	11.0
Ga0137404	82.0	5.84384960533	64.0
Ga0181526	22.0	4.19259500476	18.0
Ga0074050	94.0	6.4270596413	81.0
Ga0181517	6.0	2.58496250072	6.0
Ga0075525	34.0	4.7806310006	27.0
SaLa	14.0	3.61687460596	13.0
Ga0102922	41.0	5.25066504777	33.0
Ga0102918	51.0	5.52482557096	40.0
Ga0137435	4.0	2.0	4.0
Ga0137455	6.0	2.58496250072	6.0
IMNBL5	3.0	1.5	2.0
JGI996J12353	3.0	1.58496250072	3.0
K9gut2	11.0	3.17281073352	6.0
JGI20164J26629	12.0	3.50689059561	9.0
JGI24705J35276	13.0	3.6644977792	12.0
DelMOSum2011	48.0	5.44259012313	34.0
DelMOSpr2010	61.0	5.77419320629	50.0
Ga0075497	10.0	3.13957226199	7.0
Ga0075494	11.0	3.20869496956	7.0
JGI20195J14853	4.0	2.0	4.0
JGI20191J14862	9.0	3.16992500144	9.0
LKpool	6.0	2.52164063634	5.0
Ga0074062	139.0	6.93572423607	110.0
Ga0070710	75.0	6.02518993856	53.0
JGI24743J22301	57.0	5.68130714862	41.0
JGI24747J21853	25.0	4.56610893984	23.0
JGI24746J21847	41.0	5.18592265079	35.0
Ga0066814	49.0	5.57697705834	45.0
JGI24745J21846	36.0	5.07863872086	29.0
Ga0105048	106.0	6.64369184569	94.0
Ga0075114	74.0	6.00042063517	60.0
BBAY72	134.0	6.65709218751	121.0
LBLACPB2	24.0	4.53266527994	21.0
Ga0008092	18.0	4.14266435555	17.0
Ga0075280	38.0	5.22192809489	36.0
Ga0066606	88.0	5.94608317807	73.0
Ga0008648	78.0	6.08618734898	66.0
Ga0105044	79.0	6.02400141911	63.0
Ga0105049	81.0	6.09353637286	68.0
Ga0116157	49.0	5.46934341556	39.0
Ga0105047	71.0	6.05583334532	61.0
Ga0126384	64.0	5.68856933918	44.0
Ga0180094	7.0	2.75	6.0
Ga0180076	3.0	1.5	2.0
Ga0137390	43.0	4.90013769139	29.0
Ga0180085	7.0	2.80735492206	7.0
Ga0099790	6.0	2.52164063634	5.0
Ga0105046	83.0	6.27756901109	74.0
Ga0116216	16.0	3.79621760259	10.0
Ga0180104	9.0	3.12192809489	8.0
Ga0172375	13.0	3.70043971814	13.0
Ga0105103	12.0	3.54659356429	11.0
Ga0073936	15.0	3.72161172397	13.0
Ga0105152	7.0	2.75	6.0
JGI24126J20157	20.0	4.27761343682	18.0
Ga0172379	24.0	4.27137063438	21.0
JGI24709J26583	40.0	5.21366068969	32.0
Ga0098044	18.0	4.00488616409	16.0
Ga0066837	51.0	4.43646081616	34.0
FWIREl	68.0	6.04832934169	65.0
JGI20277J16323	3.0	1.5	2.0
Ga0075281	40.0	5.32192809489	40.0
SRS051244	5.0	2.25162916739	4.0
C1951752	1.0	-0.0	1.0
SRS045715	2.0	1.0	2.0
SRS017445	6.0	2.52164063634	5.0
C2662021	1.0	-0.0	1.0
C3821374	1.0	-0.0	1.0
C1064685	1.0	-0.0	1.0
Ga0114940	33.0	5.00325833478	30.0
Ga0102818	37.0	5.09517552146	28.0
Ga0102816	71.0	5.87015798926	56.0
BSg4DRAFT	3.0	1.5	2.0
Ga0065722	12.0	3.52164063634	10.0
BSg1DRAFT	6.0	2.58496250072	6.0
BSg3	4.0	2.0	4.0
BaSeMet	10.0	3.25162916739	8.0
BSG	7.0	2.75	6.0
BSGilla	19.0	3.73875557243	4.0
JGI1356J14229	34.0	4.92672129839	25.0
Ga0082335	38.0	5.15256901109	29.0
BBAY78	127.0	6.77857978928	114.0
GOS2249	12.0	3.58496250072	12.0
GOS2218	4.0	2.0	4.0
Ga0066830	15.0	3.875	14.0
Ga0116160	13.0	3.57781953111	11.0
Ga0079062	34.0	5.0721401598	33.0
Ga0102887	68.0	5.80970906399	58.0
Ga0071101	10.0	3.32192809489	10.0
Ga0075495	30.0	4.59689975689	20.0
Ga0157282	45.0	5.27760081321	38.0
Ga0164292	72.0	5.80562002527	42.0
Ga0075462	43.0	5.32525173729	36.0
Ga0115031	60.0	5.68773838939	39.0
Ga0114956	106.0	6.58500456657	93.0
AA3	23.0	4.50162916739	22.0
Ga0164242	78.0	6.06892645182	57.0
Ga0136644	32.0	4.88771568029	27.0
AECFG	8.0	2.84643934467	7.0
Ga0058696	8.0	2.5834651896	3.0
Ga0058691	20.0	3.3516254686	12.0
Ga0075118	70.0	6.06486907779	58.0
Ga0137362	35.0	4.78246364608	25.0
Ga0172377	31.0	4.76465046143	28.0
Ga0180012	3.0	1.58496250072	3.0
Ga0172378	12.0	3.45281953111	9.0
Ga0114960	33.0	4.95305590733	27.0
JGI24710J26742	49.0	5.47396344731	41.0
JGI24707J26582	54.0	5.60189135705	39.0
JGI24708J26588	43.0	5.21117416943	32.0
Ga0066480	4.0	2.0	4.0
Ga0066488	3.0	1.58496250072	3.0
Ga0066472	9.0	3.095795255	7.0
Ga0066419	8.0	3.0	8.0
Ga0066425	7.0	2.80735492206	7.0
JGI24219J26650	3.0	1.37095059445	2.0
Ga0102860	31.0	4.8851290413	25.0
Ga0129318	65.0	5.60039309677	48.0
JGI25913J50563	3.0	1.58496250072	3.0
Ga0031669	1.0	-0.0	1.0
Ga0068712	83.0	6.09264063018	66.0
Ga0068711	30.0	4.88968018135	29.0
Ga0065182	5.0	2.32192809489	5.0
Ga0070770	35.0	5.01906068483	29.0
Ga0068714	130.0	6.78698875049	112.0
Ga0134118	7.0	2.45082579452	5.0
Ga0136641	6.0	2.58496250072	6.0
SWWA	13.0	3.61687460596	9.0
Ga0079098	22.0	4.43660543432	21.0
Ga0075109	61.0	5.83535502377	49.0
Ga0075119	26.0	4.68081342809	25.0
Ga0075124	63.0	5.78418371978	54.0
Ga0180014	4.0	2.0	4.0
C687J26621	23.0	4.32162726282	18.0
Ga0066421	14.0	3.75	12.0
Ga0116175	20.0	3.87683881593	14.0
JGI1689J12820	29.0	4.8125	26.0
JGI11783J13700	4.0	1.93626002753	0.0
CGUI	7.0	2.80735492206	7.0
Ga0170573	27.0	4.65788237687	22.0
Ga0102872	31.0	4.7285903361	25.0
Ga0102881	46.0	5.41815728816	36.0
Ga0079239	5.0	2.32192809489	5.0
Ga0066856	54.0	5.34564447695	42.0
Ga0066691	151.0	6.97722396161	115.0
2210009605	1.0	-0.0	1.0
Ga0137420	6.0	1.55690107604	5.0
Ga0136554	16.0	3.93213803976	13.0
Ga0136555	11.0	3.37878349349	8.0
Ga0136566	7.0	2.72192809489	4.0
Ga0102946	55.0	5.57038549627	49.0
JGI24005J15628	15.0	3.875	14.0
ElkS	19.0	4.04243300373	12.0
JGI11876J12873	20.0	4.27761343682	18.0
JGIcombinedJ13537	17.0	4.03740119765	15.0
JGI1221J11331	14.0	3.80735492206	14.0
JGI1221J13441	17.0	4.03740119765	15.0
Ga0105244	63.0	5.39009813401	36.0
Ga0102885	33.0	4.95305590733	27.0
Ga0102822	50.0	5.51780491478	37.0
EsDRAFT	55.0	5.71106078603	44.0
Ga0102884	32.0	4.76693885149	23.0
Ga0102826	46.0	5.34190127123	32.0
Ga0102852	32.0	4.85053438701	25.0
JGI12681J13546	4.0	2.0	4.0
Ga0075520	30.0	4.66531153223	25.0
Ga0075291	36.0	5.14266435555	34.0
Ga0075285	44.0	5.42692927721	41.0
Ga0075277	27.0	4.73592635063	26.0
Ga0075276	40.0	5.09366068969	36.0
NTS	25.0	4.58211892616	21.0
GOS2216	25.0	4.39757900339	20.0
JGI24750J21931	44.0	5.32764247057	31.0
Ga0126349	8.0	2.85538854221	5.0
JGI12535J11911	5.0	2.32192809489	5.0
Ga0074061	13.0	3.70043971814	13.0
Ga0126346	15.0	3.56544837182	10.0
Ga0105057	7.0	2.80735492206	7.0
Ga0126357	13.0	3.6644977792	12.0
JGI12270J11330	15.0	3.90689059561	15.0
DelMOWin2010	39.0	5.07565221259	26.0
Ga0075486	25.0	4.59306920777	22.0
JGI24818J35693	23.0	4.04881074303	15.0
JGI24819J35694	27.0	4.33601913762	22.0
Ga0066844	22.0	3.89205767109	14.0
Ga0114955	25.0	4.46092114995	13.0
JGI24731J21663	13.0	3.6644977792	12.0
Ga0066836	117.0	4.87100081274	83.0
Ga0137458	9.0	3.12192809489	8.0
Ga0075108	32.0	4.91878073044	28.0
Ga0131972	3.0	1.5	2.0
Ga0102820	38.0	5.12905693678	31.0
Ga0075117	35.0	5.04645718749	30.0
Ga0102823	65.0	5.90145771888	53.0
DelMOSum2010	61.0	5.61476793525	41.0
JGI12712J15308	44.0	5.28739871921	34.0
JGI24006J15134	8.0	2.94770277922	7.0
Ga0075466	33.0	4.8796640049	26.0
2001429475	1.0	-0.0	1.0
Ga0157613	4.0	2.0	4.0
Ga0137443	8.0	2.94770277922	7.0
Ga0172362	28.0	4.78901547789	27.0
Ga0066834	60.0	5.7325891999	49.0
OV003	30.0	4.70305590733	25.0
JGI24727J20361	2.0	1.0	2.0
Ga0074196	2.0	1.0	2.0
FW301	28.0	4.53324931134	25.0
Ga0181525	37.0	4.91468922416	22.0
Ga0114957	48.0	5.51868588175	43.0
Ga0079100	34.0	4.79349242086	25.0
Ga0116177	46.0	5.22990973604	37.0
Ga0105089	8.0	2.84535093662	6.0
Ga0100391	28.0	4.76064792329	25.0
Ga0005509	5.0	2.32192809489	5.0
Ga0126315	65.0	5.57584967215	47.0
DCKB1	6.0	2.58496250072	6.0
Ga0065179	25.0	4.54839434554	21.0
Ga0066637	24.0	4.56385618977	23.0
Ga0051981	54.0	5.65169812487	49.0
C2176901	1.0	-0.0	1.0
C1545060	1.0	-0.0	1.0
DPOLFG	8.0	3.0	8.0
LWSO2	75.0	6.18749200111	71.0
prs	32.0	4.94761320883	31.0
Ga0116178	45.0	5.29997189208	38.0
WSSedB1C	15.0	3.875	14.0
WSSedB1CaDRAFT	15.0	3.875	14.0
Ga0172373	61.0	5.675690607	47.0
meta35draft	28.0	4.77355726228	26.0
Ga0102910	25.0	4.59306920777	22.0
JGI20163J26743	25.0	3.68189764462	18.0
JGI20163J15578	27.0	4.10937913001	21.0
Ga0114939	32.0	4.90071158837	31.0
Ga0066811	15.0	3.875	14.0
Ga0102691	5.0	2.32192809489	5.0
Ga0180068	3.0	1.5	2.0
Ga0074071	12.0	3.45656476213	10.0
Ga0066473	6.0	2.58496250072	6.0
Ga0072934	31.0	3.68961765215	24.0
Ga0072335	29.0	4.82516405232	27.0
SR3	30.0	4.79465347354	26.0
LBH17	70.0	5.41309355501	57.0
Ga0073922	14.0	3.80735492206	14.0
WSSedL1C	18.0	4.07065611315	16.0
Ga0153956	19.0	4.08496250072	16.0
JGI24503J29689	20.0	4.18083298721	16.0
JGI24712J26585	45.0	5.33581288717	35.0
JGI24711J26586	27.0	4.6070177096	21.0
2209186944	1.0	-0.0	1.0
JGI20165J26630	13.0	3.57781953111	11.0
JGI20171J29575	6.0	2.58496250072	6.0
Ga0114984	20.0	3.99311003597	9.0
JGI12146J14260	3.0	1.58496250072	3.0
JGI12087J14258	3.0	1.58496250072	3.0
JGI12010J14255	3.0	1.58496250072	3.0
JGI12006J14256	4.0	2.0	4.0
JGI11877J14254	3.0	1.5	2.0
AR2	43.0	5.38437608572	39.0
Ga0070399	24.0	4.24289660842	17.0
Ga0164320	50.0	5.26298419371	38.0
Ga0105069	9.0	3.16992500144	9.0
JGI20208J14878	21.0	4.33496250072	18.0
Ga0181531	32.0	4.68822930665	21.0
Ga0181528	24.0	4.41872290807	14.0
Ga0154005	2.0	1.0	2.0
Ga0181532	15.0	3.79465347354	13.0
Ga0079974	8.0	2.84535093662	6.0
Ga0102953	22.0	4.32316116739	17.0
Ga0116164	22.0	4.39274741045	18.0
Ga0126356	28.0	4.62615043196	24.0
Ga0099795	21.0	4.03856233608	16.0
Ga0116217	16.0	3.94770277922	14.0
Ga0153954	12.0	3.28103611255	10.0
Ga0181537	33.0	4.61521087157	20.0
Ga0116138	4.0	2.0	4.0
M740	5.0	2.32192809489	5.0
Ga0137437	8.0	2.75162916739	6.0
Ga0164297	29.0	4.68418371978	22.0
Ga0181534	31.0	4.70187196752	21.0
Ga0157301	58.0	5.55640866009	48.0
JGI12662J13196	15.0	3.7871439607	12.0
Ga0058710	25.0	4.64385618977	25.0
FACEORE	31.0	4.9375	30.0
Ga0099825	6.0	2.52164063634	5.0
Ga0116125	8.0	2.94770277922	7.0
Ga0182007	53.0	5.07569436351	33.0
Ga0066869	49.0	5.54387478809	43.0
Ga0126359	15.0	3.78418371978	11.0
JGI12630J15595	36.0	5.05830254068	29.0
Ga0180061	5.0	2.23592635063	3.0
JGI26345J50200	5.0	2.25162916739	4.0
JGI861J16260	14.0	3.77355726228	13.0
JGI24138J36424	18.0	4.01218840397	11.0
JGI24133J20442	23.0	4.34919993935	18.0
JGI24137J36423	17.0	3.90217481421	11.0
Ga0075518	13.0	3.70043971814	13.0
Ga0075269	49.0	5.59399396942	47.0
JGI24130J36418	20.0	4.16385618977	17.0
JGI24134J36421	20.0	4.20841018727	14.0
JGI24129J20441	15.0	3.6897037322	12.0
Ga0160495	10.0	2.99958123065	8.0
Ga0160468	7.0	2.64160416787	6.0
Ga0160456	5.0	2.32192809489	5.0
Ga0160467	13.0	3.6644977792	12.0
Ga0160455	9.0	3.12192809489	8.0
Ga0160444	5.0	2.32192809489	5.0
Ga0160443	12.0	3.50689059561	9.0
Ga0160469	9.0	3.02205520887	7.0
Ga0160445	10.0	3.08505510276	9.0
Ga0160457	10.0	3.27761343682	9.0
Ga0182005	40.0	4.39821226141	27.0
Ga0160461	10.0	2.93110909194	7.0
Ga0153980	19.0	4.22192809489	18.0
Ga0160439	9.0	2.68456081429	5.0
Ga0160449	11.0	2.78415912785	8.0
Ga0068845	4.0	1.92192809489	3.0
Ga0160438	9.0	3.09306920777	4.0
Ga0160433	6.0	2.40563906223	5.0
Ga0160437	15.0	3.44385618977	11.0
GOS2224	22.0	4.39274741045	18.0
Ga0126305	73.0	5.95003536953	58.0
Ga0160478	8.0	2.84535093662	6.0
Ga0160483	14.0	3.725480557	10.0
Ga0075286	41.0	5.35755200462	41.0
Ga0136604	16.0	3.65375670829	15.0
GOS24894	33.0	4.5529530579	6.0
LPaug09P202000mDRAFT	25.0	4.03643478491	18.0
LPjun08P16500mDRAFT	16.0	3.52164063634	12.0
GOS2215	25.0	4.44040401772	20.0
Ga0116187	20.0	3.73294084699	15.0
Ga0116132	3.0	1.5	2.0
Ga0099829	35.0	4.65041030517	27.0
Ga0157298	54.0	5.55469403865	43.0
Ga0105085	7.0	2.59490661824	5.0
Ga0137377	41.0	4.94139403957	27.0
Ga0126347	19.0	3.91471700146	14.0
Ga0163212	17.0	4.05881389033	16.0
Ga0136643	16.0	3.84423289876	13.0
Ga0099826	15.0	3.72192809489	12.0
Ga0157334	8.0	3.0	8.0
Ga0116121	4.0	2.0	4.0
Ga0136557	16.0	3.96981578243	15.0
Ga0136600	10.0	3.18083298721	8.0
Ga0136655	29.0	4.66898014502	24.0
Ga0075469	50.0	5.48423416465	38.0
Ga0136556	18.0	4.07065611315	16.0
Ga0136598	8.0	2.92192809489	6.0
Ga0100393	30.0	4.75322561624	24.0
Ga0069135	11.0	3.41829583405	10.0
AglaG	41.0	5.04603252137	33.0
Ga0066835	37.0	5.04740865189	33.0
Ga0031658	9.0	3.12192809489	8.0
WSSedA1B3DRAFT	27.0	4.62900373111	21.0
Ga0031677	7.0	2.725480557	5.0
GOS2238	8.0	3.0	8.0
Ga0101943	47.0	5.44036175894	42.0
JGI26247J51722	44.0	5.07720185593	34.0
JGI26248J51725	38.0	4.8934596864	27.0
JGI26254J51713	30.0	4.53887234119	19.0
JGI26243J51142	28.0	4.55041914129	19.0
JGI26261J51718	37.0	4.93517152982	29.0
JGI26249J51723	21.0	4.10370169606	12.0
JGI26273J51734	47.0	5.31596555209	37.0
Ga0126352	4.0	1.79248125036	3.0
JGI20205J14842	14.0	3.77355726228	13.0
Ga0116219	10.0	3.23592635063	6.0
JGI24742J22300	37.0	5.01166338029	29.0
Ga0126361	32.0	4.1102396258	26.0
2230484155	1.0	-0.0	1.0
GOS2234	7.0	2.80735492206	7.0
JGI1678J12821	19.0	4.16589420839	18.0
SRMUA	18.0	4.08418371978	17.0
Ga0105067	8.0	2.94770277922	7.0
