	observed_species	shannon	singles
Ga0075365	333.0	7.47230441373	241.0
Ga0075368	222.0	7.25887437506	175.0
Ga0070762	152.0	6.91872958201	114.0
Ga0070677	161.0	7.0925048056	135.0
JGI12574J12772	11.0	3.33467914105	10.0
JGI12574J13907	11.0	3.33467914105	10.0
JGI12367J12837	11.0	3.24022392894	9.0
JGI12292J12840	20.0	4.16197817968	16.0
BBAY91	281.0	7.96477505454	248.0
Ga0105239	197.0	6.88658047317	132.0
Ga0105237	129.0	6.26065691411	79.0
Ga0105241	132.0	6.43111586161	97.0
Ga0105240	113.0	6.10939303404	73.0
Ga0068877	89.0	6.33848179501	78.0
Ga0068876	64.0	5.92673368194	58.0
Ga0102813	74.0	5.97202416076	63.0
Ga0102854	56.0	5.63278462406	49.0
none	268.0	7.26785229299	185.0
KCEPM	27.0	4.73592635063	26.0
JGI24187J35170	28.0	4.76064792329	25.0
Ga0075421	517.0	8.56246403666	405.0
Ga0065707	155.0	7.05347613626	125.0
Ga0066600	183.0	7.14929445275	157.0
loc	57.0	5.47264162824	37.0
JGI24525J20082	16.0	3.89240711859	14.0
Ga0070706	355.0	8.22798998423	270.0
BBAY83	181.0	7.43326841998	166.0
Ga0066809	81.0	6.1937346291	66.0
Ga0058697	120.0	6.67075763261	97.0
Ga0070761	143.0	6.83469695292	118.0
Ga0075014	229.0	7.547929166	187.0
Ga0073928	90.0	6.25304750594	69.0
Ga0070730	157.0	7.14708105241	133.0
FWIRElOz	57.0	5.78073038293	53.0
Ga0137412	142.0	6.59144201831	104.0
2209186357	1.0	-0.0	1.0
Ga0070733	113.0	6.52409259661	87.0
Ga0066671	180.0	7.26862558261	149.0
Ga0066665	172.0	6.93506667628	122.0
Ga0102829	58.0	5.59861463155	43.0
BMHBC	19.0	3.78842936905	7.0
P	65.0	5.37983766205	47.0
Ga0066813	11.0	3.41829583405	10.0
Ga0075024	345.0	8.18417266506	278.0
Ga0105243	144.0	6.38035493214	98.0
JGI24721J26819	56.0	5.61066900754	43.0
JGI24721J44947	75.0	6.07459506999	63.0
Ga0078972	81.0	6.0042088187	71.0
Ga0068707	54.0	5.36065572309	47.0
Ga0073904	95.0	6.30740986006	81.0
Ga0068671	9.0	3.16992500144	9.0
JGI20214J51088	142.0	6.84464852779	105.0
Ga0101945	58.0	5.73522469038	45.0
Ga0073933	48.0	5.51710054048	39.0
JGI26255J51710	38.0	5.09479715881	23.0
JGI26380J51729	35.0	4.84711805756	26.0
JGI26256J51712	26.0	4.43665435288	16.0
JGI26242J51144	22.0	4.23833467195	12.0
JGI26239J51126	20.0	4.05747607629	14.0
Ga0008649	79.0	5.67529041319	59.0
JGI26250J51715	19.0	4.07841852044	14.0
JGI26382J51730	28.0	4.4614678802	19.0
LP	18.0	3.95021206491	12.0
LPaug08P122000mDRAFT	18.0	3.8828142771	8.0
BBAY81	24.0	4.48172767887	19.0
BBAY79	131.0	6.81384355486	114.0
BBAY76	108.0	6.60821031445	102.0
BBAY71	129.0	6.54607676439	107.0
BBAY70	162.0	6.99856494328	145.0
BBAY77	112.0	6.60257821293	98.0
Ga0100386	23.0	4.28319971091	18.0
Ga0066602	78.0	6.11951265011	66.0
Ga0164306	149.0	6.64047571475	109.0
Ga0066683	133.0	6.65741085249	105.0
AF	30.0	4.7871439607	24.0
Ga0075417	255.0	7.82656678522	213.0
Ga0066678	191.0	7.24279237213	155.0
Ga0137403	128.0	6.64372219129	102.0
Ga0066701	137.0	6.79830879808	104.0
Ga0066709	89.0	5.82293057863	59.0
Ga0066688	153.0	6.90195313656	126.0
