Collapsed_Eco	lat	long
Fresh water	48.3807	-122.1599
Fresh water	48.3807	-122.1599
Fresh water	48.3807	-122.1599
Fresh water	48.3807	-122.1599
Fresh water	48.3807	-122.1599
Fresh water	48.3807	-122.1599
Fresh water	48.3807	-122.1599
Fresh water	48.3807	-122.1599
Fresh water	48.3807	-122.1599
Fresh water	48.3807	-122.1599
Fresh water	48.3807	-122.1599
Fresh water	48.3807	-122.1599
Fresh water	48.3807	-122.1599
Fresh water	48.3807	-122.1599
Fresh water	48.3807	-122.1599
Fresh water	48.3807	-122.1599
Fresh water	48.3807	-122.1599
Fresh water	48.3807	-122.1599
Fresh water	48.3807	-122.1599
Fresh water	48.3807	-122.1599
Fresh water	48.3807	-122.1599
Fresh water	48.3807	-122.1599
Fresh water	48.3807	-122.1599
Fresh water	48.3807	-122.1599
Fresh water	48.3807	-122.1599
Fresh water	48.3807	-122.1599
Fresh water	48.3807	-122.1599
Fresh water	48.3807	-122.1599
Fresh water	48.3807	-122.1599
Fresh water	48.3807	-122.1599
Fresh water	48.3807	-122.1599
Fresh water	48.3807	-122.1599
Fresh water	48.3807	-122.1599
Fresh water	48.3807	-122.1599
Fresh water	48.3807	-122.1599
Fresh water	48.3807	-122.1599
Fresh water	48.3807	-122.1599
Fresh water	48.3807	-122.1599
Fresh water	47.63458	-122.26655
Fresh water	43.1998	-86.5698
Fresh water	43.1998	-86.5698
Fresh water	43.1998	-86.5698
Fresh water	43.1998	-86.5698
Fresh water	43.1998	-86.5698
Fresh water	43.1998	-86.5698
Fresh water	43.1998	-86.5698
Fresh water	43.1998	-86.5698
Fresh water	43.1998	-86.5698
Fresh water	43.1998	-86.5698
Fresh water	43.1998	-86.5698
Fresh water	43.1998	-86.5698
Fresh water	43.1998	-86.5698
Fresh water	43.1998	-86.5698
Fresh water	43.1998	-86.5698
Fresh water	43.1998	-86.5698
Fresh water	43.1998	-86.5698
Fresh water	43.1998	-86.5698
Fresh water	43.1998	-86.5698
Fresh water	43.1998	-86.5698
Fresh water	43.1998	-86.5698
Fresh water	43.1998	-86.5698
Fresh water	43.1998	-86.5698
Fresh water	43.1998	-86.5698
Fresh water	43.1998	-86.5698
Fresh water	43.1998	-86.5698
Fresh water	43.1998	-86.5698
Fresh water	47.1149	-88.5476
Fresh water	47.1149	-88.5476
Fresh water	47.1149	-88.5476
Fresh water	47.1149	-88.5476
Fresh water	47.1149	-88.5476
Fresh water	47.1149	-88.5476
Fresh water	47.1149	-88.5476
Fresh water	47.1149	-88.5476
Fresh water	47.1149	-88.5476
Fresh water	47.1149	-88.5476
Fresh water	47.1149	-88.5476
Fresh water	47.1149	-88.5476
Fresh water	47.1149	-88.5476
Fresh water	47.1149	-88.5476
Fresh water	47.1149	-88.5476
Fresh water	47.1149	-88.5476
Fresh water		
Fresh water		
Fresh water		
Fresh water	37.7330997	-97.7990663
Fresh water	40.0132	-79.0717
Fresh water	57.4344	16.66
Fresh water	57.4344	16.66
Fresh water	57.4344	16.66
Fresh water	61.2413	21.4947
Fresh water	61.2418	21.4803
Fresh water	-1.64	29.05
Fresh water	41.77	-81.73
Fresh water	43.933506	-78.003845
Fresh water	41.77	-81.73
Fresh water	41.474889	-82.854137
Fresh water	42.285437	-81.355591
Fresh water	38.7	-118.7
Fresh water	41.6655	-87.5437
Fresh water	-1.78	29.2
Fresh water	-2.75	121.05
Fresh water	61.2	25.1
Fresh water	36.37	-116.27
Fresh water	36.42	-115.74
Fresh water	41.6655	-87.5437
Fresh water	36.41	-115.74
Fresh water	61.2	25.1
Fresh water	-2.0288	29.1756
Fresh water	36.42	-116.32
Fresh water	41.6655	-87.5437
Fresh water	-2.75	121.05
Fresh water	-2.0288	29.1756
Fresh water	-1.64	29.05
Fresh water	-1.64	29.05
Fresh water	-1.64	29.05
Fresh water	-1.64	29.05
Fresh water	-1.64	29.05
Fresh water	-1.64	29.05
Fresh water	-1.64	29.05
Fresh water	-1.64	29.05
Fresh water	-1.64	29.05
Fresh water	41.321	-105.586
Fresh water	41.321	-105.586
Fresh water	41.321	-105.586
Fresh water	41.321	-105.586
Fresh water	41.321	-105.586
Fresh water	38.1075	-121.6497
Fresh water	47.1149	-88.5476
Fresh water	47.1149	-88.5476
Fresh water	47.1149	-88.5476
Fresh water		
Fresh water		
Fresh water		
Fresh water		
Fresh water		
Fresh water		
Fresh water		
Fresh water		
Fresh water		
Fresh water		
Fresh water		
Fresh water		
Fresh water		
Fresh water		
Fresh water		
Fresh water		
Fresh water		
Fresh water	41.7	-86.23
Fresh water	41.7	-86.23
Fresh water	41.7	-86.23
Fresh water	41.7	-86.23
Fresh water	41.7	-86.23
Fresh water	41.7	-86.23
Fresh water	-77.605	163.163
Fresh water	-77.605	163.163
Fresh water	-77.605	163.163
Fresh water	-77.605	163.163
Fresh water	-77.605	163.163
Fresh water	-77.605	163.163
Fresh water	-77.605	163.163
Fresh water	-77.605	163.163
Fresh water	-77.605	163.163
Fresh water	-77.714	162.445
Fresh water	-77.714	162.445
Fresh water	-77.714	162.445
Fresh water	52.149	10.542
Fresh water	46.008	-89.701
Fresh water	46.008	-89.701
Fresh water	46.008	-89.701
Fresh water	46.008	-89.701
Fresh water	46.008	-89.701
Fresh water	46.008	-89.701
Fresh water	46.008	-89.701
Fresh water	46.008	-89.701
Fresh water	46.008	-89.701
Fresh water	46.008	-89.701
Fresh water	46.041	-89.686
Fresh water	46.041	-89.686
Fresh water	46.041	-89.686
Fresh water	46.041	-89.686
Fresh water	46.041	-89.686
Fresh water	46.041	-89.686
Fresh water	46.041	-89.686
Fresh water	46.041	-89.686
Fresh water	46.041	-89.686
Fresh water	43.099	-89.405
Fresh water	43.099	-89.405
Fresh water	43.099	-89.405
Fresh water	43.099	-89.405
Fresh water	43.099	-89.405
Fresh water	43.099	-89.405
Fresh water	43.099	-89.405
Fresh water	43.099	-89.405
Fresh water	43.099	-89.405
Fresh water	43.099	-89.405
Fresh water	43.099	-89.405
Fresh water	43.099	-89.405
Fresh water	43.099	-89.405
Fresh water	43.099	-89.405
Fresh water	43.099	-89.405
Fresh water	43.099	-89.405
Fresh water	43.099	-89.405
Fresh water	43.099	-89.405
Fresh water	43.099	-89.405
Fresh water	43.099	-89.405
Fresh water	43.099	-89.405
Fresh water	43.099	-89.405
Fresh water	43.099	-89.405
Fresh water	43.099	-89.405
Fresh water	43.099	-89.405
Fresh water	46.008	-89.701
Fresh water	46.008	-89.701
Fresh water	46.041	-89.686
Fresh water	46.041	-89.686
Fresh water	46.008	-89.701
Fresh water	43.099	-89.405
Fresh water	46.041	-89.686
Fresh water	46.041	-89.686
Fresh water	46.008	-89.701
Fresh water	46.041	-89.686
Fresh water	43.099	-89.405
Fresh water	43.099	-89.405
Fresh water	43.098333	-89.405278
Fresh water	43.098333	-89.405278
Fresh water	43.099444	-89.404444
Fresh water	61.5637	22.044
Fresh water	43.1998	-86.5698
Fresh water	43.1998	-86.5698
Fresh water	43.1998	-86.5698
Fresh water	43.1998	-86.5698
Fresh water	43.1998	-86.5698
Fresh water	43.1998	-86.5698
Fresh water	43.1998	-86.5698
Fresh water	43.1998	-86.5698
Fresh water	43.1998	-86.5698
Fresh water	43.1998	-86.5698
Fresh water	43.1998	-86.5698
Fresh water	43.1998	-86.5698
Fresh water	43.1998	-86.5698
Fresh water	43.1998	-86.5698
Fresh water	43.1998	-86.5698
Fresh water	43.1998	-86.5698
Fresh water	43.1998	-86.5698
Fresh water	43.1998	-86.5698
Fresh water	43.1998	-86.5698
Fresh water	43.1998	-86.5698
Fresh water	43.1998	-86.5698
Fresh water	43.1998	-86.5698
Fresh water	43.1998	-86.5698
Fresh water	43.1998	-86.5698
Fresh water	43.1998	-86.5698
